cell_type cell_id component component_id X Y Z inner_radius outer_radius
axon 0 axon 0 32.1153 16.6917 0 2.73696 2.73696
axon 0 axon 0 32.0566 16.6973 0.619238 2.72966 2.72966
axon 0 axon 0 31.998 16.7029 1.23848 2.72236 2.72236
axon 0 axon 0 31.9393 16.7085 1.85771 2.71505 2.71505
axon 0 axon 0 31.8807 16.7141 2.47695 2.70775 2.70775
axon 0 axon 0 31.8226 16.7196 3.08958 2.69228 2.69228
axon 0 axon 0 31.7646 16.7252 3.70222 2.6768 2.6768
axon 0 axon 0 31.7066 16.7307 4.31485 2.66133 2.66133
axon 0 axon 0 31.6485 16.7363 4.92748 2.64585 2.64585
axon 0 axon 0 31.5917 16.7417 5.52765 2.64756 2.64756
axon 0 axon 0 31.5348 16.7471 6.12782 2.64927 2.64927
axon 0 axon 0 31.478 16.7525 6.728 2.40998 2.40998
axon 0 axon 0 31.4211 16.758 7.32817 2.41154 2.41154
axon 0 axon 0 31.364 16.7634 7.9311 2.41431 2.41431
axon 0 axon 0 31.3069 16.7689 8.53403 2.41708 2.41708
axon 0 axon 0 31.2498 16.7743 9.13697 2.41985 2.41985
axon 0 axon 0 31.1927 16.7798 9.7399 2.42262 2.42262
axon 0 axon 0 31.1321 16.7856 10.3796 2.45959 2.45959
axon 0 axon 0 31.0715 16.7914 11.0194 2.49655 2.49655
axon 0 axon 0 31.0109 16.7971 11.6591 2.53352 2.53352
axon 0 axon 0 30.9503 16.8029 12.2988 2.57049 2.57049
axon 0 axon 0 30.8897 16.8087 12.9386 2.56792 2.56792
axon 0 axon 0 30.8291 16.8145 13.5783 2.56535 2.56535
axon 0 axon 0 30.7685 16.8203 14.218 2.56278 2.56278
axon 0 axon 0 30.7079 16.8261 14.8578 2.56021 2.56021
axon 0 axon 0 30.6475 16.8318 15.4949 2.55274 2.55274
axon 0 axon 0 30.5871 16.8376 16.1321 2.54527 2.54527
axon 0 axon 0 30.5268 16.8434 16.7693 2.5378 2.5378
axon 0 axon 0 30.4664 16.8491 17.4064 2.53033 2.53033
axon 0 axon 0 30.4548 16.7583 18.0324 2.51931 2.51931
axon 0 axon 0 30.4432 16.6675 18.6583 2.50829 2.50829
axon 0 axon 0 30.4316 16.5767 19.2842 2.49728 2.49728
axon 0 axon 0 30.42 16.4859 19.9101 2.48626 2.48626
axon 0 axon 0 30.4085 16.3966 20.5252 2.47947 2.47947
axon 0 axon 0 30.3971 16.3074 21.1402 2.47268 2.47268
axon 0 axon 0 30.3857 16.2182 21.7552 2.4659 2.4659
axon 0 axon 0 30.3743 16.1289 22.3702 2.45911 2.45911
axon 0 axon 0 30.3629 16.04 22.983 2.46363 2.46363
axon 0 axon 0 30.3515 15.9511 23.5958 2.46815 2.46815
axon 0 axon 0 30.3402 15.8622 24.2085 2.47266 2.47266
axon 0 axon 0 30.3288 15.7733 24.8213 2.47718 2.47718
axon 0 axon 0 30.3174 15.6844 25.4341 2.47431 2.47431
axon 0 axon 0 30.3061 15.5955 26.0469 2.47144 2.47144
axon 0 axon 0 30.2947 15.5066 26.6596 2.46856 2.46856
axon 0 axon 0 30.2833 15.4177 27.2724 2.46569 2.46569
axon 0 axon 0 30.2719 15.3289 27.8842 2.46758 2.46758
axon 0 axon 0 30.2606 15.2402 28.496 2.46946 2.46946
axon 0 axon 0 30.2492 15.1514 29.1078 2.47135 2.47135
axon 0 axon 0 30.2379 15.0626 29.7196 2.47324 2.47324
axon 0 axon 0 30.2262 14.9711 30.3504 2.49247 2.49247
axon 0 axon 0 30.2145 14.8796 30.9813 2.5117 2.5117
axon 0 axon 0 30.2028 14.7881 31.6121 2.53094 2.53094
axon 0 axon 0 30.191 14.6965 32.2429 2.55017 2.55017
axon 0 axon 0 30.1793 14.605 32.8738 2.53468 2.53468
axon 0 axon 0 30.1676 14.5135 33.5046 2.51918 2.51918
axon 0 axon 0 30.1559 14.422 34.1354 2.50368 2.50368
axon 0 axon 0 30.1442 14.3304 34.7663 2.48819 2.48819
axon 0 axon 0 30.2231 14.425 35.376 2.48524 2.48524
axon 0 axon 0 30.302 14.5195 35.9857 2.48229 2.48229
axon 0 axon 0 30.3809 14.614 36.5955 2.72727 2.72727
axon 0 axon 0 30.4598 14.7085 37.2052 2.72402 2.72402
axon 0 axon 0 30.5383 14.8025 37.8121 2.71761 2.71761
axon 0 axon 0 30.6168 14.8966 38.4189 2.71119 2.71119
axon 0 axon 0 30.6953 14.9907 39.0258 2.70477 2.70477
axon 0 axon 0 30.7739 15.0847 39.6326 2.69835 2.69835
axon 0 axon 0 30.8516 15.1779 40.2338 2.67107 2.67107
axon 0 axon 0 30.9294 15.2711 40.8349 2.64378 2.64378
axon 0 axon 0 31.0072 15.3643 41.436 2.61649 2.61649
axon 0 axon 0 31.085 15.4574 42.0371 2.58921 2.58921
axon 0 axon 0 31.1596 15.5468 42.614 2.57229 2.57229
axon 0 axon 0 31.2343 15.6363 43.1908 2.55538 2.55538
axon 0 axon 0 31.3089 15.7257 43.7676 2.53846 2.53846
axon 0 axon 0 31.3835 15.8151 44.3444 2.52154 2.52154
axon 0 axon 0 31.4562 15.9021 44.9062 2.51355 2.51355
axon 0 axon 0 31.5289 15.9892 45.4679 2.50556 2.50556
axon 0 axon 0 31.6016 16.0763 46.0296 2.49756 2.49756
axon 0 axon 0 31.6743 16.1634 46.5914 2.48957 2.48957
axon 0 axon 0 31.7474 16.251 47.1567 2.50161 2.50161
axon 0 axon 0 31.8206 16.3386 47.7221 2.51364 2.51364
axon 0 axon 0 31.8937 16.4262 48.2874 2.52568 2.52568
axon 0 axon 0 31.9669 16.5139 48.8528 2.53772 2.53772
axon 1 axon 0 24.3557 9.18901 0 2.72803 2.72803
axon 1 axon 0 24.3557 9.18901 0.626936 2.73565 2.73565
axon 1 axon 0 24.3557 9.18901 1.25387 2.74327 2.74327
axon 1 axon 0 24.3557 9.18901 1.88081 2.75089 2.75089
axon 1 axon 0 24.3557 9.18901 2.50774 2.75852 2.75852
axon 1 axon 0 24.3557 9.18901 3.13468 2.75453 2.75453
axon 1 axon 0 24.3557 9.18901 3.76161 2.75054 2.75054
axon 1 axon 0 24.3557 9.18901 4.38855 2.49687 2.49687
axon 1 axon 0 24.3557 9.18901 5.01549 2.49325 2.49325
axon 1 axon 0 24.3557 9.18901 5.64438 2.49883 2.49883
axon 1 axon 0 24.3557 9.18901 6.27327 2.50441 2.50441
axon 1 axon 0 24.3557 9.18901 6.90217 2.51 2.51
axon 1 axon 0 24.3557 9.18901 7.53106 2.51558 2.51558
axon 1 axon 0 24.3557 9.18901 8.1823 2.53792 2.53792
axon 1 axon 0 24.3557 9.18901 8.83353 2.56026 2.56026
axon 1 axon 0 24.3557 9.18901 9.48477 2.5826 2.5826
axon 1 axon 0 24.3557 9.18901 10.136 2.60494 2.60494
axon 1 axon 0 24.3557 9.18901 10.8052 2.62294 2.62294
axon 1 axon 0 24.3557 9.18901 11.4745 2.64093 2.64093
axon 1 axon 0 24.3557 9.18901 12.1437 2.65892 2.65892
axon 1 axon 0 24.3557 9.18901 12.8129 2.67692 2.67692
axon 1 axon 0 24.3557 9.18901 13.489 2.68379 2.68379
axon 1 axon 0 24.3557 9.18901 14.1651 2.69066 2.69066
axon 1 axon 0 24.3557 9.18901 14.8412 2.69753 2.69753
axon 1 axon 0 24.3557 9.18901 15.5173 2.7044 2.7044
axon 1 axon 0 24.3557 9.18901 16.1946 2.7056 2.7056
axon 1 axon 0 24.3557 9.18901 16.8719 2.70679 2.70679
axon 1 axon 0 24.3557 9.18901 17.5492 2.70799 2.70799
axon 1 axon 0 24.3557 9.18901 18.2265 2.70918 2.70918
axon 1 axon 0 24.3336 9.10955 18.9066 2.71697 2.71697
axon 1 axon 0 24.3115 9.03008 19.5867 2.72476 2.72476
axon 1 axon 0 24.2895 8.95062 20.2668 2.73255 2.73255
axon 1 axon 0 24.2674 8.87115 20.9469 2.74034 2.74034
axon 1 axon 0 24.245 8.79077 21.6348 2.74822 2.74822
axon 1 axon 0 24.2227 8.7104 22.3228 2.75609 2.75609
axon 1 axon 0 24.2004 8.63002 23.0107 2.76397 2.76397
axon 1 axon 0 24.178 8.54964 23.6986 2.77185 2.77185
axon 1 axon 0 24.1557 8.46926 24.3865 2.75769 2.75769
axon 1 axon 0 24.1334 8.38888 25.0745 2.74353 2.74353
axon 1 axon 0 24.111 8.3085 25.7624 2.72937 2.72937
axon 1 axon 0 24.0887 8.22813 26.4503 2.71521 2.71521
axon 1 axon 0 24.0666 8.14867 27.1303 2.72138 2.72138
axon 1 axon 0 24.0445 8.06922 27.8103 2.72755 2.72755
axon 1 axon 0 24.0225 7.98977 28.4903 2.73372 2.73372
axon 1 axon 0 24.0004 7.91032 29.1703 2.7399 2.7399
axon 1 axon 0 23.9783 7.83087 29.8503 2.7348 2.7348
axon 1 axon 0 23.9562 7.75142 30.5303 2.72971 2.72971
axon 1 axon 0 23.9342 7.67196 31.2102 2.72462 2.72462
axon 1 axon 0 23.9121 7.59251 31.8902 2.99149 2.99149
axon 1 axon 0 23.8902 7.51365 32.5652 2.98625 2.98625
axon 1 axon 0 23.8683 7.43479 33.2401 2.98102 2.98102
axon 1 axon 0 23.8463 7.35593 33.9151 2.97579 2.97579
axon 1 axon 0 23.8244 7.27707 34.59 2.97056 2.97056
axon 1 axon 0 23.802 7.19645 35.28 2.99249 2.99249
axon 1 axon 0 23.7796 7.11582 35.97 2.74038 2.74038
axon 1 axon 0 23.7572 7.0352 36.66 2.76032 2.76032
axon 1 axon 0 23.7348 6.95458 37.35 2.78026 2.78026
axon 1 axon 0 23.7691 7.07778 38.0475 2.79428 2.79428
axon 1 axon 0 23.8033 7.20097 38.745 2.80831 2.80831
axon 1 axon 0 23.8375 7.32417 39.4424 2.82233 2.82233
axon 1 axon 0 23.8718 7.44737 40.1399 2.83635 2.83635
